stazione_id;data;inquinante;valore
"2";2020-01-01;SO2;5
"1";2020-01-02;NO2;
"2";2020-01-02;C6H6;4.3
"2";2020-01-02;NO2;71
"2";2020-01-02;O3;33
"2";2020-01-02;PM10;154
"2";2020-01-02;PM25;129
"2";2020-01-02;SO2;7
"3";2020-01-02;CO_8h;2
"3";2020-01-02;NO2;122
"4";2020-01-02;C6H6;4.6
"4";2020-01-02;CO_8h;2.7
"4";2020-01-02;NO2;134
"4";2020-01-02;PM10;179
"5";2020-01-02;NO2;
"5";2020-01-02;O3;
"6";2020-01-02;C6H6;4.9
"6";2020-01-02;CO_8h;2.5
"6";2020-01-02;NO2;84
"6";2020-01-02;PM10;180
"6";2020-01-02;PM25;152
"7";2020-01-02;NO2;94
"7";2020-01-02;O3;17
"7";2020-01-02;PM10;179
"8";2020-01-02;C6H6;
"8";2020-01-02;CO_8h;
"8";2020-01-02;NO2;
"1";2020-01-03;NO2;
"2";2020-01-03;C6H6;3.7
"2";2020-01-03;NO2;63
"2";2020-01-03;O3;17
"2";2020-01-03;PM10;62
"2";2020-01-03;PM25;50
"2";2020-01-03;SO2;7
"3";2020-01-03;CO_8h;1.5
"3";2020-01-03;NO2;98
"4";2020-01-03;C6H6;3.5
"4";2020-01-03;CO_8h;1.7
"4";2020-01-03;NO2;125
"4";2020-01-03;PM10;66
"5";2020-01-03;NO2;
"5";2020-01-03;O3;
"6";2020-01-03;C6H6;3.3
"6";2020-01-03;CO_8h;1.7
"6";2020-01-03;NO2;79
"6";2020-01-03;PM10;83
"6";2020-01-03;PM25;56
"7";2020-01-03;NO2;85
"7";2020-01-03;O3;13
"7";2020-01-03;PM10;59
"8";2020-01-03;C6H6;
"8";2020-01-03;CO_8h;
"8";2020-01-03;NO2;
"2";2020-01-04;SO2;7
"2";2020-01-05;SO2;6
"2";2020-01-06;SO2;6
"1";2020-01-07;NO2;
"2";2020-01-07;C6H6;2.8
"2";2020-01-07;NO2;55
"2";2020-01-07;O3;14
"2";2020-01-07;PM10;52
"2";2020-01-07;PM25;39
"2";2020-01-07;SO2;5
"3";2020-01-07;CO_8h;1.6
"3";2020-01-07;NO2;72
"4";2020-01-07;C6H6;2.8
"4";2020-01-07;CO_8h;1.8
"4";2020-01-07;NO2;62
"4";2020-01-07;PM10;61
"5";2020-01-07;NO2;
"5";2020-01-07;O3;
"6";2020-01-07;C6H6;2.4
"6";2020-01-07;CO_8h;1.4
"6";2020-01-07;NO2;69
"6";2020-01-07;PM10;52
"6";2020-01-07;PM25;41
"7";2020-01-07;NO2;74
"7";2020-01-07;O3;17
"7";2020-01-07;PM10;51
"8";2020-01-07;C6H6;
"8";2020-01-07;CO_8h;
"8";2020-01-07;NO2;
"1";2020-01-08;NO2;
"2";2020-01-08;C6H6;4
"2";2020-01-08;NO2;59
"2";2020-01-08;O3;7
"2";2020-01-08;PM10;59
"2";2020-01-08;PM25;43
"2";2020-01-08;SO2;6
"3";2020-01-08;CO_8h;1.3
"3";2020-01-08;NO2;78
"4";2020-01-08;C6H6;3.9
"4";2020-01-08;CO_8h;1.7
"4";2020-01-08;NO2;62
